time_ns,x,y,theta,omega,y_ref,error
28040100,0.028893883891364484,0.5024663362710121,0.07017003784030998,-0.9873347204602101,0.0027896269780918505,0.49967670929292024
29040100,0.029891422984266086,0.5025364487387554,0.0691832048669654,-0.9868329733445758,0.0028893723076649416,0.4996470764310904
30040100,0.030889030780730114,0.5026055767680502,0.06819687536233036,-0.9863295046350302,0.00298912449319057,0.4996164522748596
31040100,0.03188670627493869,0.5026737207938754,0.06721105104569854,-0.9858243166318306,0.003088883429964111,0.4995848373639113
32040100,0.03288444846237886,0.5027408812539848,0.06622573363406052,-0.9853174116380192,0.003188649013409537,0.4995522322405752
33040100,0.033882256339849884,0.5028070585889022,0.0652409248421013,-0.9848087919592194,0.0032884211390801945,0.499518637449822
34040100,0.0348801289054705,0.5028722532419171,0.06425662638219773,-0.9842984599035689,0.0033881997026595683,0.4994840535392575
35040100,0.0358780651586862,0.5029364656590793,0.06327283996441593,-0.9837864177817914,0.003487984599962049,0.4994484810591173
36040100,0.036876064100276426,0.5029996962891947,0.06228956729650864,-0.983272667907299,0.0035877757269336986,0.499411920562261
37040100,0.037874124732361805,0.5030619455838199,0.06130681008391291,-0.9827572125957342,0.003687572979653011,0.4993743726041669
38040100,0.03887224605841132,0.5031232139972576,0.06032457002974731,-0.9822400541656,0.00378737625433167,0.4993358377429259
39040100,0.03987042708324943,0.5031835019865518,0.05934284883480967,-0.9817211949376372,0.0038871854473153103,0.4992963165392365
40040100,0.040868666813063254,0.5032428100114829,0.058361648197574494,-0.9812006372351738,0.003987000455084265,0.4992558095563986
41040100,0.041866964255409644,0.5033011385345626,0.05738096981419049,-0.9806783833840045,0.004086821174254324,0.4992143173603083
42040100,0.042865318419222274,0.5033584880210292,0.05640081537847822,-0.9801544357122667,0.004186647501577479,0.49917184051945174
43040100,0.04386372831481871,0.5034148589388425,0.055421186581927566,-0.9796287965506536,0.0042864793339426705,0.49912837960489986
44040100,0.04486219295390743,0.503470251758679,0.05444208511369539,-0.9791014682321797,0.004386316568376536,0.4990839351903025
45040100,0.04586071134959484,0.5035246669539266,0.053463512660603216,-0.9785724530921693,0.0044861591020441466,0.4990385078518825
46040100,0.04685928251639226,0.5035781050006802,0.052485470907134756,-0.9780417534684687,0.004586006832249749,0.4989920981684305
47040100,0.04785790547022288,0.5036305663777361,0.0515079615354336,-0.9775093717011569,0.004685859656437502,0.49894470672129854
48040100,0.04885657922842872,0.5036820515665871,0.05053098622530087,-0.9769753101327288,0.004785717472192211,0.4988963340943949
49040100,0.04985530280977749,0.503732561051418,0.04955454665419298,-0.976439571107889,0.004885580177240057,0.4988469808741779
50040100,0.050854075234469547,0.5037820953190996,0.04857864449721936,-0.9759021569736248,0.0049854476694493315,0.49879664764965026
51040100,0.05185289552414469,0.5038306548591844,0.04760328142713992,-0.9753630700794444,0.005085319846831154,0.4987453350123533
52040100,0.05285176270188905,0.5038782401639015,0.046628459114363245,-0.9748223127766711,0.005185196607540206,0.4986930435563613
